Date,Open,High,Low,Close,Volume,Adj Close
2015-01-16,2393.82,2429.31,2393.50,2426.91,000,2426.91
2015-01-15,2392.65,2412.42,2388.76,2392.08,000,2392.08
2015-01-14,2362.00,2388.63,2349.77,2384.41,000,2384.41
2015-01-13,2380.21,2411.01,2366.77,2384.42,000,2384.42
2015-01-12,2398.14,2398.14,2371.27,2377.16,000,2377.16
2015-01-09,2397.54,2406.19,2377.14,2390.31,000,2390.31
2015-01-08,2369.76,2401.85,2369.76,2398.92,000,2398.92
2015-01-07,2359.72,2368.09,2343.11,2362.48,000,2362.48
2015-01-06,2375.37,2385.95,2348.55,2355.65,000,2355.65
2015-01-05,2412.06,2413.01,2362.12,2379.42,000,2379.42
2015-01-02,2444.27,2444.27,2417.88,2427.96,000,2427.96
2014-12-31,2446.56,2459.94,2440.66,2444.33,000,2444.33
2014-12-30,2471.87,2471.87,2447.88,2450.52,000,2450.52
2014-12-29,2484.66,2491.39,2474.41,2474.93,000,2474.93
2014-12-26,2479.69,2488.91,2454.98,2484.68,000,2484.68
2014-12-24,2475.90,2476.42,2460.00,2476.16,000,2476.16
2014-12-23,2468.34,2468.34,2450.05,2465.05,000,2465.05
2014-12-22,2464.40,2473.38,2458.94,2464.26,000,2464.26
2014-12-19,2451.32,2475.69,2437.53,2466.26,000,2466.26
2014-12-18,2419.43,2453.63,2417.34,2453.42,000,2453.42
2014-12-17,2353.82,2405.05,2337.79,2391.70,000,2391.70
2014-12-16,2323.21,2386.30,2323.21,2353.83,000,2353.83
2014-12-15,2375.17,2382.58,2317.72,2325.92,000,2325.92
2014-12-12,2390.19,2393.58,2369.82,2371.19,000,2371.19
2014-12-11,2444.55,2444.59,2413.73,2416.34,000,2416.34
2014-12-10,2475.49,2475.49,2442.74,2446.64,000,2446.64
2014-12-09,2481.18,2498.46,2476.30,2496.20,000,2496.20
2014-12-08,2564.66,2564.66,2496.51,2497.80,000,2497.80
2014-12-05,2573.60,2573.60,2553.24,2564.63,000,2564.63
2014-12-04,2588.02,2588.02,2559.84,2578.19,000,2578.19
2014-12-03,2572.16,2592.90,2571.63,2588.72,000,2588.72
2014-12-02,2540.79,2574.32,2540.79,2557.65,000,2557.65
2014-12-01,2532.35,2544.02,2515.02,2543.04,000,2543.04
2014-11-28,2564.11,2576.88,2544.31,2544.47,000,2544.47
2014-11-26,2617.03,2623.06,2614.05,2619.76,000,2619.76
2014-11-25,2620.90,2624.91,2611.11,2624.20,000,2624.20
2014-11-24,2624.58,2629.15,2609.50,2616.27,000,2616.27
2014-11-21,2620.28,2631.75,2615.04,2621.62,000,2621.62
2014-11-20,2600.38,2613.59,2592.92,2609.23,000,2609.23
2014-11-19,2599.08,2608.44,2584.78,2599.91,000,2599.91
2014-11-18,2595.79,2606.17,2592.30,2597.77,000,2597.77
2014-11-17,2587.10,2605.35,2581.90,2598.74,000,2598.74
2014-11-14,2581.03,2585.22,2563.84,2584.26,000,2584.26
2014-11-13,2590.21,2599.93,2572.03,2583.23,000,2583.23
2014-11-12,2594.33,2598.18,2578.44,2588.98,000,2588.98
2014-11-11,2584.11,2605.26,2584.11,2596.93,000,2596.93
2014-11-10,2591.77,2609.31,2576.73,2583.83,000,2583.83
2014-11-07,2561.65,2584.91,2558.16,2584.65,000,2584.65
2014-11-06,2561.52,2563.04,2545.05,2561.69,000,2561.69
2014-11-05,2540.13,2565.47,2535.33,2559.88,000,2559.88
2014-11-04,2550.64,2563.02,2533.74,2542.84,000,2542.84
2014-11-03,2584.32,2584.32,2547.30,2554.73,000,2554.73
2014-10-31,2530.32,2578.16,2530.32,2577.46,000,2577.46
2014-10-30,2529.37,2541.94,2513.99,2530.78,000,2530.78
2014-10-29,2546.32,2560.00,2525.36,2536.36,000,2536.36
2014-10-28,2512.46,2542.92,2511.89,2542.83,000,2542.83
2014-10-27,2497.52,2504.12,2478.68,2497.59,000,2497.59
2014-10-24,2508.71,2510.47,2498.43,2508.01,000,2508.01
2014-10-23,2488.02,2512.43,2487.76,2502.54,000,2502.54
2014-10-22,2564.71,2564.71,2483.42,2484.63,000,2484.63
2014-10-21,2541.71,2567.68,2534.71,2564.72,000,2564.72
2014-10-20,2519.48,2536.45,2514.47,2536.45,000,2536.45
2014-10-17,2507.69,2545.34,2507.69,2530.43,000,2530.43
2014-10-16,2459.65,2506.93,2442.85,2494.24,000,2494.24
2014-10-15,2427.64,2466.81,2402.78,2462.59,000,2462.59
2014-10-14,2449.90,2481.91,2436.49,2439.56,000,2439.56
2014-10-13,2482.26,2497.81,2454.59,2457.48,000,2457.48
2014-10-10,2484.14,2506.99,2466.19,2482.05,000,2482.05
2014-10-09,2567.99,2568.75,2500.86,2508.23,000,2508.23
2014-10-08,2540.26,2567.50,2512.52,2566.95,000,2566.95
2014-10-07,2566.10,2566.53,2532.41,2534.94,000,2534.94
2014-10-06,2574.26,2579.11,2560.63,2573.75,000,2573.75
2014-10-03,2577.17,2578.85,2559.28,2563.04,000,2563.04
2014-10-02,2587.23,2587.23,2541.69,2579.34,000,2579.34
2014-10-01,2605.70,2606.10,2576.08,2585.58,000,2585.58
2014-09-30,2638.88,2638.88,2602.12,2605.66,000,2605.66
2014-09-29,2618.49,2640.77,2608.97,2638.89,000,2638.89
2014-09-26,2626.39,2640.26,2619.83,2635.87,000,2635.87
2014-09-25,2670.91,2671.24,2627.80,2628.89,000,2628.89
2014-09-24,2655.74,2675.51,2647.79,2671.84,000,2671.84
2014-09-23,2683.25,2683.25,2654.77,2656.64,000,2656.64
2014-09-22,2720.94,2720.94,2682.87,2683.16,000,2683.16
2014-09-19,2739.22,2748.39,2720.30,2724.97,000,2724.97
2014-09-18,2736.70,2745.72,2732.15,2738.24,000,2738.24
2014-09-17,2738.21,2747.63,2726.77,2732.34,000,2732.34
2014-09-16,2712.46,2746.31,2710.69,2737.78,000,2737.78
2014-09-15,2731.21,2731.21,2719.35,2724.77,000,2724.77
2014-09-12,2734.08,2740.94,2722.82,2731.38,000,2731.38
2014-09-11,2736.69,2740.53,2725.06,2737.63,000,2737.63
2014-09-10,2719.46,2743.41,2719.46,2743.37,000,2743.37
2014-09-09,2727.89,2727.89,2711.71,2719.50,000,2719.50
2014-09-08,2734.05,2740.14,2720.63,2727.89,000,2727.89
2014-09-05,2746.75,2761.11,2742.03,2760.67,000,2760.67
2014-09-04,2773.98,2778.59,2746.53,2752.48,000,2752.48
2014-09-03,2767.83,2779.53,2767.83,2771.47,000,2771.47
2014-09-02,2776.53,2776.53,2765.09,2766.94,000,2766.94
2014-08-29,2762.70,2784.24,2762.70,2784.08,000,2784.08
2014-08-28,2753.61,2765.00,2751.98,2760.09,000,2760.09
2014-08-27,2745.81,2758.06,2745.59,2757.99,000,2757.99
2014-08-26,2741.18,2752.94,2741.18,2744.46,000,2744.46
2014-08-25,2720.58,2737.97,2720.47,2737.81,000,2737.81
2014-08-22,2728.01,2728.01,2709.04,2719.62,000,2719.62
2014-08-21,2723.08,2727.81,2715.17,2727.20,000,2727.20
2014-08-20,2750.34,2750.34,2716.48,2723.93,000,2723.93
2014-08-19,2741.40,2753.48,2739.54,2751.88,000,2751.88
2014-08-18,2714.26,2740.47,2714.26,2740.47,000,2740.47
2014-08-15,2719.20,2721.24,2694.72,2714.26,000,2714.26
2014-08-14,2690.26,2707.01,2690.17,2704.64,000,2704.64
2014-08-13,2688.12,2691.81,2681.38,2690.13,000,2690.13
2014-08-12,2683.02,2688.66,2676.26,2687.44,000,2687.44
2014-08-11,2681.08,2692.08,2678.63,2684.62,000,2684.62
2014-08-08,2653.83,2676.76,2650.80,2676.68,000,2676.68
2014-08-07,2676.76,2677.90,2652.94,2661.75,000,2661.75
2014-08-06,2668.31,2686.72,2663.96,2681.41,000,2681.41
2014-08-05,2690.01,2690.01,2660.76,2668.95,000,2668.95
2014-08-04,2682.72,2690.09,2666.18,2685.92,000,2685.92
2014-08-01,2704.94,2704.94,2669.41,2678.49,000,2678.49
2014-07-31,2738.00,2738.00,2705.43,2706.92,000,2706.92
2014-07-30,2775.35,2775.35,2746.74,2749.69,000,2749.69
2014-07-29,2782.76,2789.72,2771.25,2774.21,000,2774.21
2014-07-28,2796.78,2798.14,2777.99,2778.75,000,2778.75
2014-07-25,2797.66,2797.66,2781.46,2788.31,000,2788.31
2014-07-24,2806.56,2806.56,2791.90,2799.25,000,2799.25
2014-07-23,2792.97,2805.73,2792.22,2801.76,000,2801.76
2014-07-22,2775.32,2795.41,2774.28,2789.04,000,2789.04
2014-07-21,2798.40,2798.40,2769.85,2775.42,000,2775.42
2014-07-18,2773.39,2800.04,2769.37,2800.04,000,2800.04
2014-07-17,2772.33,2792.75,2770.16,2773.39,000,2773.39
2014-07-16,2783.43,2787.08,2767.70,2772.34,000,2772.34
2014-07-15,2815.56,2815.56,2773.67,2774.94,000,2774.94
2014-07-14,2799.01,2822.48,2799.01,2817.73,000,2817.73
2014-07-11,2788.02,2800.64,2783.57,2797.87,000,2797.87
2014-07-10,2815.09,2815.09,2789.70,2798.96,000,2798.96
2014-07-09,2806.96,2824.10,2800.39,2822.07,000,2822.07
2014-07-08,2821.89,2822.29,2795.57,2810.78,000,2810.78
2014-07-07,2829.69,2830.16,2815.22,2822.21,000,2822.21
2014-07-03,2819.10,2835.50,2815.12,2833.44,000,2833.44
2014-07-02,2809.14,2819.99,2800.12,2819.05,000,2819.05
2014-07-01,2779.06,2808.01,2779.06,2802.29,000,2802.29
2014-06-30,2772.07,2780.54,2765.71,2778.88,000,2778.88
2014-06-27,2773.94,2777.54,2759.53,2775.39,000,2775.39
2014-06-26,2754.18,2775.70,2748.05,2772.76,000,2772.76
2014-06-25,2759.37,2773.30,2758.37,2767.09,000,2767.09
2014-06-24,2800.18,2803.97,2770.98,2772.80,000,2772.80
2014-06-23,2810.11,2810.11,2792.50,2799.02,000,2799.02
2014-06-20,2814.42,2822.90,2811.91,2820.73,000,2820.73
2014-06-19,2805.65,2813.06,2804.36,2812.18,000,2812.18
2014-06-18,2773.35,2792.01,2765.94,2790.83,000,2790.83
2014-06-17,2760.50,2772.26,2756.12,2771.18,000,2771.18
2014-06-16,2754.42,2765.98,2751.71,2764.23,000,2764.23
2014-06-13,2745.14,2754.76,2742.29,2752.67,000,2752.67
2014-06-12,2745.69,2751.80,2738.21,2743.38,000,2743.38
2014-06-11,2721.09,2733.05,2718.18,2732.71,000,2732.71
2014-06-10,2715.64,2721.86,2702.42,2721.70,000,2721.70
2014-06-09,2712.14,2719.00,2704.39,2715.38,000,2715.38
2014-06-06,2700.01,2713.94,2699.55,2713.14,000,2713.14
2014-06-05,2709.04,2711.03,2693.32,2705.17,000,2705.17
2014-06-04,2705.85,2707.45,2693.71,2707.45,000,2707.45
2014-06-03,2707.57,2708.71,2697.80,2707.75,000,2707.75
2014-06-02,2711.66,2718.29,2703.79,2711.28,000,2711.28
2014-05-30,2703.47,2729.42,2700.93,2727.30,000,2727.30
2014-05-29,2682.41,2701.20,2675.87,2701.20,000,2701.20
2014-05-28,2662.28,2664.94,2651.32,2661.10,000,2661.10
2014-05-27,2670.97,2675.43,2665.68,2672.34,000,2672.34
2014-05-23,2658.35,2664.21,2656.79,2663.93,000,2663.93
2014-05-22,2685.16,2685.16,2671.45,2676.08,000,2676.08
2014-05-21,2651.54,2688.81,2649.15,2685.90,000,2685.90
2014-05-20,2653.16,2653.16,2632.92,2641.05,000,2641.05
2014-05-19,2654.79,2658.37,2652.51,2654.34,000,2654.34
2014-05-16,2618.04,2649.86,2618.04,2649.74,000,2649.74
2014-05-15,2632.82,2634.20,2614.62,2618.06,000,2618.06
2014-05-14,2626.02,2643.25,2625.36,2628.28,000,2628.28
2014-05-13,2633.36,2634.34,2625.63,2630.76,000,2630.76
2014-05-12,2596.39,2635.69,2596.39,2633.38,000,2633.38
2014-05-09,2602.24,2602.78,2584.75,2596.41,000,2596.41
2014-05-08,2620.71,2634.33,2610.19,2612.89,000,2612.89
2014-05-07,2619.18,2623.42,2604.27,2620.74,000,2620.74
2014-05-06,2616.89,2618.47,2606.44,2611.25,000,2611.25
2014-05-05,2611.61,2619.42,2598.54,2616.84,000,2616.84
2014-05-02,2603.72,2617.94,2600.48,2613.74,000,2613.74
2014-05-01,2621.97,2632.19,2614.78,2631.80,000,2631.80
2014-04-30,2612.21,2621.40,2601.83,2612.52,000,2612.52
2014-04-29,2616.35,2645.76,2616.35,2635.91,000,2635.91
2014-04-28,2613.55,2628.58,2605.23,2615.20,000,2615.20
2014-04-25,2616.67,2618.23,2601.74,2613.57,000,2613.57
2014-04-24,2611.01,2625.41,2604.87,2619.13,000,2619.13
2014-04-23,2610.75,2616.01,2604.70,2609.86,000,2609.86
2014-04-22,2608.67,2618.49,2608.67,2615.32,000,2615.32
2014-04-21,2592.76,2609.38,2590.91,2609.07,000,2609.07
2014-04-17,2594.34,2597.16,2576.39,2593.90,000,2593.90
2014-04-16,2594.42,2597.48,2585.17,2594.35,000,2594.35
2014-04-15,2595.76,2605.33,2572.41,2586.92,000,2586.92
2014-04-14,2607.17,2610.13,2589.59,2601.14,000,2601.14
2014-04-11,2587.99,2591.07,2574.06,2578.88,000,2578.88
2014-04-10,2625.32,2629.10,2595.56,2597.96,000,2597.96
2014-04-09,2606.48,2622.66,2601.28,2620.72,000,2620.72
2014-04-08,2569.19,2591.77,2569.19,2590.77,000,2590.77
